index	attitude.roll	attitude.pitch	attitude.yaw	gravity.x	gravity.y	gravity.z	rotationRate.x	rotationRate.y	rotationRate.z	userAcceleration.x	userAcceleration.y	userAcceleration.z
0	-1.5563997	0.17014648	-1.5046576	0.97185534	-0.23403555	-0.006495343	0.451	-0.8438375	2.928475	-0.16910303	-0.5361938	0.11516506
1	-1.5737497	0.2214289	-1.5118641	0.95666176	-0.28900036	-0.02438213	0.66165	-1.241625	2.6657126	0.2171456	-0.43332383	0.07147693
2	-1.5909338	0.2796621	-1.5221846	0.94091535	-0.33459845	-0.045158576	0.66385	-1.167375	2.192025	0.32513973	-0.28038627	-0.07023897
3	-1.613887	0.32998523	-1.5350461	0.92691785	-0.37066287	-0.052432563	0.427625	-0.2168375	1.736625	0.06666018	-0.29997936	-0.21087019
4	-1.6268765	0.37086263	-1.5450846	0.91582656	-0.39828697	-0.04412157	0.278575	0.4739625	1.4034625	-0.09747786	-0.38509223	-0.24364601
5	-1.6217793	0.4025193	-1.5515522	0.90293115	-0.42700955	-0.041177094	-0.114125	-0.176	1.7824125	-0.15858859	-0.3805287	-0.23486266
6	-1.615047	0.43226066	-1.5527692	0.8801632	-0.47106275	-0.05224797	-0.2003375	-0.7737125	2.9156876	-0.20952098	0.031613186	-0.062935516
7	-1.625261	0.47595173	-1.5459061	0.84004676	-0.5356478	-0.08197612	0.1700875	-2.15545	4.2268877	-0.13841066	0.399975	0.07107399
8	-1.6566035	0.5441135	-1.5377365	0.7844005	-0.6109638	-0.103714556	1.3715625	-1.6405125	4.5727	-0.10958398	0.34633076	0.13980018
9	-1.6969756	0.6337195	-1.5403622	0.7220437	-0.6850532	-0.093122974	2.3090374	-1.05435	4.5951123	-0.08045351	0.18780553	-0.023497814
10	-1.7016367	0.7304547	-1.5725484	0.6611317	-0.74296075	-0.10114874	0.7478625	-2.7490375	3.5382874	0.51685	-0.01922582	-0.64564025
11	-1.7101306	0.8195717	-1.608867	0.6077387	-0.78262925	-0.13214627	-0.1821875	-2.11145	3.011525	0.4888974	-0.36457255	-0.20689042
12	-1.7694385	0.88452214	-1.6005925	0.55004776	-0.81907547	-0.16087312	-0.4387625	-2.2078376	3.3031626	0.07808682	-0.8036616	0.19746332
13	-1.8350395	0.9447389	-1.5680326	0.48600912	-0.85091203	-0.19763799	-0.71115	-2.5595624	3.2212124	0.04915909	-1.2508157	0.075206794
14	-2.0399976	1.0553297	-1.4336178	0.37339488	-0.89293194	-0.25013158	-1.5230875	1.3124375	3.05085	-0.14006156	-0.16833721	0.3714313
15	-2.1385899	1.0956577	-1.3208424	0.32564458	-0.9070582	-0.26555276	-1.2868625	1.2255375	3.077525	-0.21341215	0.283312	0.4293601
16	-2.2296872	1.1287025	-1.187025	0.27326366	-0.9208808	-0.2768081	-0.4142875	-0.2388375	2.8763626	-0.25541964	0.4245505	0.39393348
17	-2.4473975	1.1980311	-0.95637375	0.17663768	-0.9463961	-0.26916692	0.9766625	-1.544125	1.595	-0.22954288	0.11592207	0.29699564
18	-2.5415215	1.2341658	-0.8952016	0.14311557	-0.9573076	-0.2497958	0.98202497	-0.47547498	1.1683375	-0.20040913	-0.039940093	0.2168753
19	-2.610198	1.2712393	-0.8486784	0.13303104	-0.9634236	-0.23115903	0.7979125	0.9513625	0.216975	-0.11968242	-0.1302614	0.1748899
20	-2.6276522	1.2964808	-0.82941836	0.14655516	-0.9657177	-0.21267015	0.687225	1.732225	-0.5929	-0.05287014	-0.16578077	0.13173741
21	-2.4590755	1.3116778	-0.94415545	0.16605696	-0.96646655	-0.19412555	0.7244875	1.17425	-0.7228375	-0.06911506	-0.12547535	0.06282586
22	-2.4590755	1.3116778	-0.94415545	0.18031678	-0.9669827	-0.1781786	0.6989125	0.16733749	-0.586575	-0.1870446	-0.11405701	0.011710702
